julday,date_time,V_ugal,vert_mm,areal_mm,WDD_tam,potential,dilation_ppb,wl_ft
2456445.6875,6/2/2013 4:30,31.76618542602843,-53.7483857408401,-244.34549829701066,307.76323456726453,10116.920042606018,12.12174285790934,4429.06
2456445.7291666665,6/2/2013 5:30,6.039499595888749,-10.218833316243764,-46.45583089157626,52.135278144083685,1923.0525030091333,2.3041350183478633,4429.05
2456445.7708333335,6/2/2013 6:30,-20.392547727249436,34.50419075450605,156.85947711800264,-210.50135861146907,-6495.470426688214,-7.782647116305832,4429.03
2456445.8125,6/2/2013 7:30,-42.24976436565563,71.48660130668932,324.98518750062306,-427.68112514901475,-13456.924346631427,-16.123619709394987,4429.01
2456445.8541666665,6/2/2013 8:30,-55.27222418521144,93.52060332137776,425.1539484326464,-557.0761359659974,-17604.53634398226,-21.093144523394372,4429.01
2456445.8958333335,6/2/2013 9:30,-57.259638261422076,96.88330793832614,440.4411375068586,-576.8236698000369,-18237.521400600875,-21.851565259896766,4429.03
2456445.9375,6/2/2013 10:30,-48.55307071300147,82.15179564639848,373.4702199244073,-490.31264056922436,-15464.507352567784,-18.529036023779394,4429.04
2456445.9791666665,6/2/2013 11:30,-31.841042953983127,53.87504467813945,244.92130240203824,-324.25699189641847,-10141.779711721128,-12.151528410665408,4429.06
2456446.0208333335,6/2/2013 12:30,-11.377587897295777,19.250878722224456,87.51640610599912,-120.92605249612215,-3624.2344187104964,-4.342431735116009,4429.08
2456446.0625,6/2/2013 13:30,8.14025588425111,-13.773312956152875,-62.614848261659525,73.00901370733641,2592.1366933890067,3.1058084846391254,4429.09
2456446.1041666665,6/2/2013 14:30,22.7214999806913,-38.44477796732967,-174.77377785147746,217.89256594918137,7236.216520756,8.670183830027073,4429.09
2456446.1458333335,6/2/2013 15:30,29.974162313545985,-50.71628263451981,-230.56125651579572,289.95716311556106,9546.166385935056,11.437885626008455,4429.09
2456446.1875,6/2/2013 16:30,29.55761362992861,-50.011482261839205,-227.35716404141087,285.8182122438118,9413.496956227338,11.278925717653296,4429.08
2456446.2291666665,6/2/2013 17:30,23.131005393316133,-39.137661125490894,-177.9236934853877,221.9615327980275,7366.64269107386,8.826455942800278,4429.07
2456446.2708333335,6/2/2013 18:30,13.84435677699457,-23.42465166667481,-106.49079232864224,129.68664657738165,4408.87466952118,5.282560904752297,4429.06
2456446.3125,6/2/2013 19:30,5.501544488728638,-9.308613274928856,-42.31788020730069,46.78999715458106,1751.7155138834078,2.0988449816809616,4429.04
